dataset,algorithm,goal,run,round,test_acc,test_auc,train_loss
Cifar100,FedAvg,cifar100_fedavg_cnn,0,0,0.010794243070362473,,4.606217399319339
Cifar100,FedAvg,cifar100_fedavg_cnn,0,1,0.04297707889125799,,4.361984176237385
Cifar100,FedAvg,cifar100_fedavg_cnn,0,2,0.05770255863539445,,4.383387439934452
Cifar100,FedAvg,cifar100_fedavg_cnn,0,3,0.07555970149253731,,4.286357355688096
Cifar100,FedAvg,cifar100_fedavg_cnn,0,4,0.10421108742004265,,4.075385824095901
Cifar100,FedAvg,cifar100_fedavg_cnn,0,5,0.09821428571428571,,4.116360383644907
Cifar100,FedAvg,cifar100_fedavg_cnn,0,6,0.1400586353944563,,3.7776846892916276
Cifar100,FedAvg,cifar100_fedavg_cnn,0,7,0.13599413646055436,,3.7962655838963304
Cifar100,FedAvg,cifar100_fedavg_cnn,0,8,0.1463219616204691,,3.7366942341989042
Cifar100,FedAvg,cifar100_fedavg_cnn,0,9,0.14205756929637528,,3.763133240635588
Cifar100,FedAvg,cifar100_fedavg_cnn,0,10,0.16811034115138593,,3.512870832282873
Cifar100,FedAvg,cifar100_fedavg_cnn,0,11,0.1806369936034115,,3.394106133798751
Cifar100,FedAvg,cifar100_fedavg_cnn,0,12,0.1791044776119403,,3.3934940298469267
Cifar100,FedAvg,cifar100_fedavg_cnn,0,13,0.2046908315565032,,3.2090810436259334
Cifar100,FedAvg,cifar100_fedavg_cnn,0,14,0.2034914712153518,,3.1646237342070784
Cifar100,FedAvg,cifar100_fedavg_cnn,0,15,0.20768923240938167,,3.1348654766756905
Cifar100,FedAvg,cifar100_fedavg_cnn,0,16,0.2326092750533049,,2.9711961919326777
Cifar100,FedAvg,cifar100_fedavg_cnn,0,17,0.22667910447761194,,2.9180132970559685
Cifar100,FedAvg,cifar100_fedavg_cnn,0,18,0.2342084221748401,,2.9356725135899917
Cifar100,FedAvg,cifar100_fedavg_cnn,0,19,0.2347414712153518,,2.887138185650908
Cifar100,FedAvg,cifar100_fedavg_cnn,0,20,0.23567430703624734,,2.8715920313283063
Cifar100,FedAvg,cifar100_fedavg_cnn,0,21,0.2286780383795309,,2.971249568370869
Cifar100,FedAvg,cifar100_fedavg_cnn,0,22,0.24133795309168443,,2.8019634271010636
Cifar100,FedAvg,cifar100_fedavg_cnn,0,23,0.23647388059701493,,2.779775446278842
Cifar100,FedAvg,cifar100_fedavg_cnn,0,24,0.25752931769722814,,2.623669382239273
Cifar100,FedAvg,cifar100_fedavg_cnn,0,25,0.25459754797441364,,2.6411401354699464
Cifar100,FedAvg,cifar100_fedavg_cnn,0,26,0.2517990405117271,,2.6640859964073917
Cifar100,FedAvg,cifar100_fedavg_cnn,0,27,0.253931236673774,,2.586595764815254
Cifar100,FedAvg,cifar100_fedavg_cnn,0,28,0.251932302771855,,2.6296492376335174
Cifar100,FedAvg,cifar100_fedavg_cnn,0,29,0.26126066098081024,,2.459262501521542
Cifar100,FedAvg,cifar100_fedavg_cnn,0,30,0.2709221748400853,,2.390108103168645
Cifar100,FedAvg,cifar100_fedavg_cnn,0,31,0.2687233475479744,,2.364572478667093
Cifar100,FedAvg,cifar100_fedavg_cnn,0,32,0.2629930703624733,,2.546762063423679
Cifar100,FedAvg,cifar100_fedavg_cnn,0,33,0.27585287846481876,,2.365416845385888
Cifar100,FedAvg,cifar100_fedavg_cnn,0,34,0.2787180170575693,,2.2653405983872132
Cifar100,FedAvg,cifar100_fedavg_cnn,0,35,0.27445362473347545,,2.3115152298369415
Cifar100,FedAvg,cifar100_fedavg_cnn,0,36,0.2677905117270789,,2.43493572113818
Cifar100,FedAvg,cifar100_fedavg_cnn,0,37,0.2771855010660981,,2.3723282211063506
Cifar100,FedAvg,cifar100_fedavg_cnn,0,38,0.27818496801705755,,2.445136377087175
Cifar100,FedAvg,cifar100_fedavg_cnn,0,39,0.27658582089552236,,2.4249902731565753
Cifar100,FedAvg,cifar100_fedavg_cnn,0,40,0.27432036247334757,,2.2549614829885063
Cifar100,Fedpkda,cifar100_fedpkda_lp0.3_gp0.5,0,0,0.010794243070362473,,4.606217399319339
Cifar100,Fedpkda,cifar100_fedpkda_lp0.3_gp0.5,0,1,0.042244136460554374,,4.364163881027456
